Country,Code,land_boundaries,coastline,num_border_countries,border_countries
Switzerland,CHE,1770,0,5,Austria 158 km; France 525 km; Italy 698 km; Liechtenstein 41 km; Germany 348 km
Syrian Arab Republic,SYR,2363,193,5,Iraq 599 km; Israel 83 km; Jordan 379 km; Lebanon 403 km; Turkey 899 km
"Taiwan, Province of China",TWN,0,1566.3,0,
Tajikistan,TJK,4130,0,4,"Afghanistan 1,357 km; China 477 km; Kyrgyzstan 984 km; Uzbekistan 1,312 km"
"Tanzania, United Republic of",TZA,4161,1424,8,Burundi 589 km; Democratic Republic of the Congo 479 km; Kenya 775 km; Malawi 512 km; Mozambique 840 km; Rwanda 222 km; Uganda 391 km; Zambia 353 km
Thailand,THA,5673,3219,4,"Burma 2,416 km; Cambodia 817 km; Laos 1,845 km; Malaysia 595 km"
Timor-Leste,TLS,253,706,1,Indonesia 253 km
Togo,TGO,1880,56,3,"Benin 651 km; Burkina Faso 131 km; Ghana 1,098 km"
Tokelau,TKL,0,121,0,
Tonga,TON,0,419,0,
Trinidad and Tobago,TTO,0,362,0,
Tunisia,TUN,1495,1148,2,"Algeria 1,034 km; Libya 461 km"
Turkey,TUR,2816,7200,8,Armenia 311 km; Azerbaijan 17 km; Bulgaria 223 km; Georgia 273 km; Greece 192 km; Iran 534 km; Iraq 367 km; Syria 899 km
Turkmenistan,TKM,4158,0,4,"Afghanistan 804 km; Iran 1,148 km; Kazakhstan 413 km; Uzbekistan 1,793 km"
Turks and Caicos Islands,TCA,0,389,0,
Tuvalu,TUV,0,24,0,
Uganda,UGA,2729,0,5,Democratic Republic of the Congo 877 km; Kenya 814 km; Rwanda 172 km; South Sudan 475 km; Tanzania 391 km
Ukraine,UKR,5581,2782,6,"Belarus 1,111 km; Hungary 128 km; Moldova 1,202 km; Poland 498 km; Romania 601 km; Russia 1,944 km, Slovakia 97 km"
United Arab Emirates,ARE,1066,1318,2,Oman 609 km; Saudi Arabia 457 km
United Kingdom,GBR,499,12429,1,Ireland 499 km
United States,USA,12002,19924,2,"Canada 8,891 km (including 2,475 km with Alaska); Mexico 3,111 km"
United States Minor Outlying Islands,UMI,0,85.7,0,
Uruguay,URY,1591,660,2,"Argentina 541 km; Brazil 1,050 km"
Uzbekistan,UZB,6893,0,5,"Afghanistan 144 km; Kazakhstan 2,330 km; Kyrgyzstan 1,314 km; Tajikistan 1,312 km; Turkmenistan 1,793 km"
Vanuatu,VUT,0,2528,0,
Venezuela,VEN,5267,2800,3,"Brazil 2,137 km; Colombia 2,341 km; Guyana 789 km"
Vietnam,VNM,4616,3444,3,"Cambodia 1,158 km; China 1,297 km; Laos 2,161 km"
"Virgin Islands, British",VGB,0,80,0,
"Virgin Islands, U.S.",VIR,0,188,0,
Wallis and Futuna,WLF,0,129,0,
Yemen,YEM,1601,1906,2,"Oman 294 km; Saudi Arabia 1,307 km"
Zambia,ZMB,6043.15,0,8,"Angola 1,065 km; Botswana 0.15 km; Democratic Republic of the Congo 2,332 km; Malawi 847 km; Mozambique 439 km; Namibia 244 km; Tanzania 353 km; Zimbabwe 763 km"
Zimbabwe,ZWE,3229,0,4,"Botswana 834 km; Mozambique 1,402 km; South Africa 230 km; Zambia 763 km"
